STATION,NAME,BEGIN_LAT,BEGIN_LON,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,Zip
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-07,0.0,0.0,0.0,0.0,32.0,12.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-07,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-07,15.88,0.0,0.0,0.0,22.0,4.0,340.0,290.0,25.1,30.0,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-08,9.4,0.0,0.0,0.0,27.0,1.0,230.0,220.0,23.0,33.1,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-08,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-08,0.0,0.0,0.0,0.0,19.0,-3.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-08,0.0,0.0,0.0,0.0,26.0,-1.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-08,10.74,0.0,0.0,0.0,28.0,1.0,250.0,250.0,23.9,32.0,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-09,11.63,0.0,0.0,0.0,28.0,13.0,310.0,230.0,23.0,32.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-09,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-09,0.0,0.0,0.0,0.0,27.0,17.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-09,0.0,0.0,0.0,0.0,27.0,12.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-09,13.65,0.0,0.0,0.0,28.0,12.0,230.0,250.0,25.9,35.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-10,2.46,0.0,0.0,0.0,27.0,7.0,310.0,320.0,14.1,18.1,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-10,0.0,0.0,0.0,0.0,28.0,13.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-10,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-10,0.0,0.0,0.0,0.0,29.0,4.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-10,4.47,0.0,0.0,0.0,28.0,8.0,320.0,330.0,13.0,17.0,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-11,3.13,0.06,0.0,0.0,44.0,18.0,200.0,200.0,10.1,15.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-11,0.0,0.0,0.0,0.0,28.0,8.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-11,0.0,0.0,0.0,0.0,44.0,13.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-11,0.0,0.08,0.0,0.0,43.0,17.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-11,4.92,0.06,0.0,0.0,45.0,19.0,220.0,220.0,14.1,17.0,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-12,6.04,0.11,0.0,0.0,39.0,31.0,360.0,350.0,15.0,19.9,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-12,0.0,0.67,0.0,0.0,45.0,20.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-12,0.0,0.35,0.0,0.0,43.0,34.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-12,0.0,0.27,0.0,0.0,38.0,29.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-12,8.28,0.12,0.0,0.0,39.0,30.0,350.0,350.0,19.9,23.9,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-13,8.28,0.0,0.0,0.0,31.0,24.0,30.0,30.0,16.1,21.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-13,0.0,0.01,0.0,0.0,36.0,26.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-13,0.0,0.0,0.0,0.0,36.0,25.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-13,0.0,0.0,0.0,0.0,29.0,23.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-13,9.62,0.0,0.0,0.0,31.0,25.0,360.0,30.0,18.1,23.0,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-14,3.58,0.0,0.0,0.0,33.0,25.0,260.0,220.0,8.9,12.1,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-14,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,0.0,40212
